fileid,mic_file,gt_doas_by_scene_ref_order,hark_music_doas,hark_music_scores,mean_matched_doa_error_deg,localization_sec,localization_rtf
59,mic_fileid_59_doa11_3spk.wav,"257,11,198","345,260,190","1.000000,0.493189,0.369969",12.333333333333334,0.028607510999790975,0.0017480510528961894
60,mic_fileid_60_doa144_3spk.wav,"144,184,323","100,5,165","1.000000,0.291373,0.140382",35.0,0.01843264499984798,0.0011183924278070235
61,mic_fileid_61_doa93_3spk.wav,"149,311,93","95,155,290","1.000000,0.425843,0.349853",9.666666666666666,0.018658162998690386,0.001146589420884017
62,mic_fileid_62_doa56_3spk.wav,"308,178,56","295,345,190","1.000000,0.125419,0.048337",32.0,0.023752856999635696,0.0013914869984628523
63,mic_fileid_63_doa174_3spk.wav,"312,250,174","270,195,345","1.000000,0.853341,0.535847",24.666666666666668,0.027457318999950076,0.0015276237872996266
64,mic_fileid_64_doa6_3spk.wav,"327,6,162","340,175,280","1.000000,0.452056,0.382650",28.666666666666668,0.020405224000569433,0.0012664121457906102
65,mic_fileid_65_doa48_3spk.wav,"218,293,48","205,280,75","1.000000,0.065764,0.010879",17.666666666666668,0.022861085999466013,0.001415963580586613
66,mic_fileid_66_doa58_3spk.wav,"242,92,58","255,185,100","1.000000,0.266963,0.166127",49.333333333333336,0.020525109001027886,0.0012118682156274307
67,mic_fileid_67_doa77_3spk.wav,"77,269,326","80,10,280","1.000000,0.174851,0.065886",19.333333333333332,0.02299939899967285,0.0013294066067265598
68,mic_fileid_68_doa31_3spk.wav,"357,272,31","185,85,275","1.000000,0.619543,0.487195",74.33333333333333,0.018815235000147368,0.001123071321458952
69,mic_fileid_69_doa229_3spk.wav,"304,229,334","275,195,350","1.000000,0.726204,0.302330",26.333333333333332,0.023254327001268393,0.0014684122472010414
70,mic_fileid_70_doa238_3spk.wav,"288,345,238","280,90,340","1.000000,0.826862,0.580275",53.666666666666664,0.01816530500036606,0.0010221090315934737
71,mic_fileid_71_doa92_3spk.wav,"92,356,260","90,265,180","1.000000,0.482951,0.441490",57.666666666666664,0.022685718999127857,0.0012917687018166105
72,mic_fileid_72_doa57_3spk.wav,"57,223,121","90,35,155","1.000000,0.180786,0.012551",40.333333333333336,0.02004415900046297,0.0012121894711658535
73,mic_fileid_73_doa97_3spk.wav,"97,237,130","100,350,185","1.000000,0.935684,0.826880",57.0,0.02038464799989015,0.0014270591467873217
74,mic_fileid_74_doa76_3spk.wav,"116,76,172","100,160,5","1.000000,0.188081,0.125688",33.0,0.01986698700056877,0.0011755352766177538
75,mic_fileid_75_doa172_3spk.wav,"204,172,243","195,340,265","1.000000,0.048038,0.041300",60.333333333333336,0.019151638000039384,0.001101911667615882
76,mic_fileid_76_doa66_3spk.wav,"66,179,255","180,270,5","1.000000,0.693721,0.647072",25.666666666666668,0.02719883600002504,0.001626007427945212
77,mic_fileid_77_doa164_3spk.wav,"267,164,343","85,270,180","1.000000,0.488750,0.189205",40.333333333333336,0.02166908700019121,0.0014083982288786586
78,mic_fileid_78_doa78_3spk.wav,"78,218,327","10,80,195","1.000000,0.140576,0.077063",22.666666666666668,0.019324353999763844,0.0012215045076928181
79,mic_fileid_79_doa98_3spk.wav,"98,242,322","95,270,190","1.000000,0.308872,0.178464",35.666666666666664,0.01735921799991047,0.0010918605550694533
80,mic_fileid_80_doa69_3spk.wav,"315,253,69","80,350,290","1.000000,0.377835,0.304096",27.666666666666668,0.02780105100100627,0.0016095091183353368
81,mic_fileid_81_doa77_3spk.wav,"289,77,193","75,280,195","1.000000,0.497063,0.103030",4.333333333333333,0.02848635099871899,0.0019176916758368839
82,mic_fileid_82_doa185_3spk.wav,"243,185,355","190,260,85","1.000000,0.183133,0.017164",37.333333333333336,0.034768738001730526,0.002142086284280664
83,mic_fileid_83_doa43_3spk.wav,"43,96,197","75,180,10","1.000000,0.934579,0.607010",23.666666666666668,0.028852609000750817,0.0017439791467213175
84,mic_fileid_84_doa2_3spk.wav,"41,2,122","80,20,105","1.000000,0.728734,0.449493",24.666666666666668,0.02882398200017633,0.001593596749123426
85,mic_fileid_85_doa23_3spk.wav,"173,141,23","170,15,100","1.000000,0.103137,0.042489",17.333333333333332,0.017148687000371865,0.0010056258961382689
86,mic_fileid_86_doa84_3spk.wav,"290,84,193","280,345,185","1.000000,0.347182,0.276955",39.0,0.03172311699927377,0.001863749722728302
87,mic_fileid_87_doa124_3spk.wav,"124,301,359","95,170,275","1.000000,0.345952,0.022165",56.0,0.0332632059999014,0.0019137544894189185
88,mic_fileid_88_doa31_3spk.wav,"122,31,346","160,105,260","1.000000,0.429139,0.217672",66.0,0.036504314999547205,0.0022834106369053874
89,mic_fileid_89_doa150_3spk.wav,"226,150,277","185,260,100","1.000000,0.566611,0.545018",36.0,0.054619038999589975,0.003185294376625405
90,mic_fileid_90_doa49_3spk.wav,"290,174,49","175,280,75","1.000000,0.878226,0.248146",12.333333333333334,0.024148820999471354,0.0014947624124397138
91,mic_fileid_91_doa65_3spk.wav,"144,272,65","270,25,95","1.000000,0.857631,0.833500",30.333333333333332,0.03299892200084287,0.0024991373529743826
92,mic_fileid_92_doa79_3spk.wav,"256,79,224","195,260,95","1.000000,0.868796,0.251147",16.333333333333332,0.04686715499883576,0.0026518508773132328
93,mic_fileid_93_doa3_3spk.wav,"3,41,179","5,275,80","1.000000,0.201315,0.189905",45.666666666666664,0.04688355100006447,0.0028345556831961593
94,mic_fileid_94_doa101_3spk.wav,"101,339,202","215,190,95","1.000000,0.339939,0.334535",47.333333333333336,0.018814889997884165,0.0012850055063223914
95,mic_fileid_95_doa59_3spk.wav,"125,218,59","90,165,5","1.000000,0.222365,0.206203",47.333333333333336,0.04009304200008046,0.002423730199876402
96,mic_fileid_96_doa99_3spk.wav,"160,99,357","100,170,265","1.000000,0.327809,0.069797",34.333333333333336,0.038817443997686496,0.0022266965336901236
97,mic_fileid_97_doa115_3spk.wav,"251,115,322","260,100,350","1.000000,0.482962,0.295985",17.333333333333332,0.04188589000114007,0.002472493248595255
